vine,scion,rootstock,row,block,slice,ring,width_cm
Cab_140 Ruggeri_22_1,Cab,140 Ruggeri,22,1,Slice 762,4,0.265250807
Chard_101-14 MGT_15_4,Chard,101-14 MGT,15,4,Slice 1664,4,0.124441166
Cab_SO4_23_4,Cab,SO4,23,4,Slice 785,4,0.294073136
Cab_775 Paulsen_23_2,Cab,775 Paulsen,23,2,Slice 639,4,0.369675586
Chard_775 Paulsen_3_1,Chard,775 Paulsen,3,1,Slice 174,4,0.245412357
Chard_039-16_5_4,Chard,039-16,5,4,Slice 1357,4,0.243854704
Chard_775 Paulsen_3_1,Chard,775 Paulsen,3,1,Slice 766,4,0.321484637
Chard_Kober 5BB_11_1,Chard,Kober 5BB,11,1,Slice 165,4,0.316671171
Chard_K51-32_5_3,Chard,K51-32,5,3,Slice 1314,4,0.182669823
Cab_1103 Paulsen_21_3,Cab,1103 Paulsen,21,3,Slice 445,4,0.323739029
Cab_110 Richter_16_3,Cab,110 Richter,16,3,Slice 1338,4,0.263589295
Cab_Freedom_26_2,Cab,Freedom,26,2,Slice 176,4,0.290615699
Chard_110 Richter_12_4,Chard,110 Richter,12,4,Slice 1338,4,0.25319634
Chard_Freedom_8_4,Chard,Freedom,8,4,Slice 771,4,0.175768168
Chard_3309 Couderc_10_2,Chard,3309 Couderc,10,2,Slice 1006,4,0.325156462
Cab_Freedom_26_1,Cab,Freedom,26,1,Slice 239,4,0.263376659
Chard_039-16_15_1,Chard,039-16,15,1,Slice 928,4,0.165310743
Chard_Freedom_3_2,Chard,Freedom,3,2,Slice 270,4,0.298548495
Chard_775 Paulsen_3_1,Chard,775 Paulsen,3,1,Slice 1329,4,0.199479061
Chard_K51-32_5_3,Chard,K51-32,5,3,Slice 787,4,0.161353502
Chard_Ramsey_7_2,Chard,Ramsey,7,2,Slice 268,4,0.22956568
Cab_1103 Paulsen_19_2,Cab,1103 Paulsen,19,2,Slice 794,4,0.282935697
Cab_Teleki 5C_17_3,Cab,Teleki 5C,17,3,Slice 1200,4,0.282905
Chard_101-14 MGT_6_1,Chard,101-14 MGT,6,1,Slice 173,4,0.224225468
Cab_Ramsey_28_2,Cab,Ramsey,28,2,Slice 1376,4,0.295135621
Chard_Freedom_8_4,Chard,Freedom,8,4,Slice 1324,4,0.190697767
Cab_775 Paulsen_16_1,Cab,775 Paulsen,16,1,Slice 1336,4,0.370519408
Chard_039-16_8_3,Chard,039-16,8,3,Slice 822,4,0.344732092
Cab_140 Ruggeri_27_4,Cab,140 Ruggeri,27,4,Slice 262,4,0.265802015
Chard_Teleki 5C_14_2,Chard,Teleki 5C,14,2,Slice 756,4,0.147689517
Cab_420 A_16_2,Cab,420 A,16,2,Slice 912,4,0.282054141
Cab_Teleki 5C_22_2,Cab,Teleki 5C,22,2,Slice 302,4,0.167295404
Chard_Ramsey_7_2,Chard,Ramsey,7,2,Slice 1281,4,0.20719542
Chard_K51-32_9_4,Chard,K51-32,9,4,Slice 504,4,0.317940901
Cab_K51-32_27_2,Cab,K51-32,27,2,Slice 797,4,0.238600809
Cab_Schwarzmann_20_1,Cab,Schwarzmann,20,1,Slice 730,4,0.11077408
Cab_Ramsey_28_2,Cab,Ramsey,28,2,Slices 907,4,0.328919665
Chard_110 Richter_8_1,Chard,110 Richter,8,1,Slice 359,4,0.165457836
Cab_SO4_24_1,Cab,SO4,24,1,Slice 788,4,0.321812794
Cab_110 Richter_29_2,Cab,110 Richter,29,2,Slice 1006,4,0.265268581
Chard_Freedom_13_1,Chard,Freedom,13,1,Slice 188,4,0.163000861
