vine,scion,rootstock,block,year,soluble_solids_content,titratable_acidity_gL,pH,berry_weight_g,yield_kg,cluster_number,pruning_weight_kg,yield_div_pruning_weight,avg_cluster_weight_g,cluster_divide_berry_weight,bloom_petiole_B_mgL,bloom_petiole_Ca_mgL,bloom_petiole_Cl_mgL,bloom_petiole_Cu_mgL,bloom_petiole_Fe_mgL,bloom_petiole_K_mgL,bloom_petiole_Mg_mgL,bloom_petiole_Mn_mgL,bloom_petiole_Na_mgL,bloom_petiole_NO3_mgL,bloom_petiole_P_mgL,bloom_petiole_S_mgL,bloom_petiole_Zn_mgL,cordon_length_Mvine,shoots_per_linearm,shoots_per_vine,yeast_assimilable_N_mgL,early_1,late_1,early_2,late_2,early_3,late_3,early_4,late_4,early_5,late_5,early_6,late_6,early_7,late_7,early_8,late_8,outer_rings,cambium,total_width
Cab_Freedom_2,Cab,Freedom,2,1995,22.4,7.3,3.48,1.26,17,116,1.05,16.19047619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81341886,0.053660134,0.336293466,0.063569633,0.244331396,0.067234762,0.195723147,0.091027086,0.160571618,0.075767532,0.166253619,0.089780888,0.097775035,0.091997345,0.06820639,0.07242213,1.144799913,0.070554166,3.90338712
Cab_Freedom_3,Cab,Freedom,3,1995,23.2,7.5,3.51,1.18,16.66666667,132.6666667,1.6,10.41666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.975620872,0.065387452,0.408056745,0.06061895,0.166140543,0.086639095,0.18848246,0.08359211,0.209601798,0.089794776,0.083531872,0.082623989,0.073192951,0.071717557,0.151629035,0.100028442,1.341259834,0.053158084,4.291076562
Cab_Freedom_4,Cab,Freedom,4,1995,23.8,6.9,3.61,1.24,14.33333333,99.66666667,1.533333333,9.347826087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.765751901,0.06335908,0.384091131,0.067361105,0.174577878,0.089352264,0.151752199,0.074314404,0.167775354,0.067639194,0.100198776,0.071460512,0.054621435,0.058079885,0.095826733,0.078661624,1.730398612,0.065906288,4.261128374
Cab_K51-32_1,Cab,K51-32,1,1995,22.8,7,3.55,1.39,15.33333333,97.66666667,0.95,16.14035088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.887577677,0.065881093,0.500830796,0.053115728,0.09332947,0.104353513,0.139044554,0.086148253,0.125323275,0.069300475,0.125929571,0.086756881,0.076313284,0.071768038,0.130784265,0.085138856,1.22646989,0.055896448,3.983962068
Cab_K51-32_2,Cab,K51-32,2,1995,22,7,3.54,1.28,11,99.66666667,0.77,14.28571429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.883923383,0.070430228,0.483259429,0.058170818,0.250035617,0.093975884,0.181063656,0.085802664,0.09832654,0.070783308,0.049759851,0.050502428,0.045691599,0.048956368,0.060800215,0.06262723,1.307287162,0.060670942,3.962067323
Cab_K51-32_3,Cab,K51-32,3,1995,22.8,7.3,3.56,1.28,14,103.6666667,1.333333333,10.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.514864166,0.045285202,0.502560682,0.064930638,0.296894579,0.070455959,0.208421849,0.098248586,0.214956077,0.095065557,0.086202883,0.073011105,0.08334377,0.057492013,0.075638457,0.070029902,1.413114442,0.053495713,4.024011582
Cab_K51-32_4,Cab,K51-32,4,1995,22.2,7.3,3.5,1.3,15,122.6666667,1.166666667,12.85714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.458568898,0.04868536,0.505703429,0.08093787,0.212576211,0.088309628,0.180859013,0.071203692,0.169672683,0.072624637,0.170906677,0.068377068,0.148349464,0.069977528,0.067811099,0.062575795,1.210681154,0.064547394,3.752367601
Cab_Kober 5BB_1,Cab,Kober 5BB,1,1995,23.2,6.5,3.45,0.72,6.866666667,133.6666667,0.363333333,18.89908257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.723274502,0.070612229,0.300997333,0.095907293,0.190144745,0.078904153,0.196004139,0.102352515,0.279433534,0.088548948,0.147777047,0.082767831,0.085605651,0.091860902,0.043608127,0.069713572,1.580045947,0.055814873,4.28337334
Cab_Kober 5BB_2,Cab,Kober 5BB,2,1995,22,7,3.47,1.1,13.66666667,113,0.703333333,19.43127962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77553838,0.078184416,0.326765333,0.081391193,0.146010301,0.080298097,0.192398432,0.070087418,0.242620259,0.072014832,0.189679099,0.071174219,0.120371558,0.101064581,0.094011027,0.064813525,1.598409429,0.07257676,4.377408861
Cab_Kober 5BB_3,Cab,Kober 5BB,3,1995,22.8,7.4,3.39,1.1,14,113.3333333,0.963333333,14.53287197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.896668502,0.068741155,0.357797013,0.066443588,0.190715772,0.080107121,0.121480191,0.069474387,0.132435255,0.069476954,0.097718614,0.065364491,0.04846112,0.06658165,0.033264205,0.05562727,1.980567142,0.074267219,4.47519165
